timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753343778456,379,NAV time,200,OK,Thread Group 1-1,text,true,,69671,163,2,2,https://staticassets.zerodha.com/coin/historical-nav/INF966L01689.json,374,0,344
1753343779479,2387,Grow,200,OK,Thread Group 1-1,text,true,,3815254,8456,3,3,https://groww.in/mutual-funds/quant-small-cap-fund-direct-plan-growth,236,0,187
1753343779479,287,Grow-0,200,OK,Thread Group 1-1,text,true,,512447,162,3,3,https://groww.in/mutual-funds/quant-small-cap-fund-direct-plan-growth,236,0,187
1753343779840,21,Grow-1,200,OK,Thread Group 1-1,bin,true,,5296,132,3,3,https://groww.in/favicon32x32-groww.ico,21,0,0
1753343779861,239,Grow-2,200,OK,Thread Group 1-1,text,true,,109713,203,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/css/161459f0e2a48641.css,234,0,185
1753343780273,24,Grow-3,200,OK,Thread Group 1-1,text,true,,21394,203,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/css/4bb1f5903c32e712.css,24,0,0
1753343780309,25,Grow-4,200,OK,Thread Group 1-1,text,true,,23101,203,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/css/79ec7c0309b27470.css,25,0,0
1753343780357,42,Grow-5,200,OK,Thread Group 1-1,text,true,,25908,203,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/css/f51edef650114752.css,41,0,0
1753343780400,29,Grow-6,200,OK,Thread Group 1-1,text,true,,92824,215,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js,25,0,0
1753343780429,27,Grow-7,200,OK,Thread Group 1-1,text,true,,24087,213,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/webpack-e650e1e9574383e0.js,27,0,0
1753343780456,40,Grow-8,200,OK,Thread Group 1-1,text,true,,131489,215,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/framework-50ddb49401837722.js,33,0,0
1753343780496,35,Grow-9,200,OK,Thread Group 1-1,text,true,,124135,210,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/main-aa1fae99272e9e9d.js,29,0,0
1753343780531,494,Grow-10,200,OK,Thread Group 1-1,text,true,,1766177,216,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/pages/_app-4d7d57d57fc8f097.js,52,0,0
1753343781026,23,Grow-11,200,OK,Thread Group 1-1,text,true,,10856,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/20701-7d08e678c1705c79.js,23,0,0
1753343781049,30,Grow-12,200,OK,Thread Group 1-1,text,true,,16594,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/35875-772c082c5d51eab9.js,30,0,0
1753343781079,28,Grow-13,200,OK,Thread Group 1-1,text,true,,12090,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/88202-0c5a94d85fb0329a.js,28,0,0
1753343781107,25,Grow-14,200,OK,Thread Group 1-1,text,true,,30279,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/43405-5d26728c5a045ad9.js,25,0,0
1753343781132,23,Grow-15,200,OK,Thread Group 1-1,text,true,,26216,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/99258-45bc5314186e4d6c.js,22,0,0
1753343781156,24,Grow-16,200,OK,Thread Group 1-1,text,true,,22326,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/32379-8ab2fabbae01d0f0.js,23,0,0
1753343781180,36,Grow-17,200,OK,Thread Group 1-1,text,true,,9208,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/55296-fd788e2d412e42b0.js,36,0,0
1753343781216,22,Grow-18,200,OK,Thread Group 1-1,text,true,,22025,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/12291-5916dc0cfbf1471d.js,22,0,0
1753343781239,24,Grow-19,200,OK,Thread Group 1-1,text,true,,16573,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/27507-0b5a66d7e53a4c75.js,24,0,0
1753343781264,25,Grow-20,200,OK,Thread Group 1-1,text,true,,20165,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/97662-b91185110b7e01a5.js,25,0,0
1753343781289,25,Grow-21,200,OK,Thread Group 1-1,text,true,,16977,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/14890-fc26e0b8dfc8a981.js,24,0,0
1753343781314,23,Grow-22,200,OK,Thread Group 1-1,text,true,,28046,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/66386-1758c3cc279595ff.js,22,0,0
1753343781337,33,Grow-23,200,OK,Thread Group 1-1,text,true,,56709,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/13627-54f4d5b6352a1d68.js,24,0,0
1753343781371,19,Grow-24,200,OK,Thread Group 1-1,text,true,,9021,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/33323-4738de01da84580b.js,19,0,0
1753343781390,24,Grow-25,200,OK,Thread Group 1-1,text,true,,17425,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/41290-7496bf97c02f98cf.js,24,0,0
1753343781414,32,Grow-26,200,OK,Thread Group 1-1,text,true,,18356,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/39689-97a31bc9dad55030.js,32,0,0
1753343781446,30,Grow-27,200,OK,Thread Group 1-1,text,true,,23118,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/19410-d41999478550d5e3.js,29,0,0
1753343781476,39,Grow-28,200,OK,Thread Group 1-1,text,true,,179357,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/94643-7087abfc362e9669.js,30,0,0
1753343781515,29,Grow-29,200,OK,Thread Group 1-1,text,true,,11704,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/75790-6b63c3e4284af492.js,29,0,0
1753343781544,51,Grow-30,200,OK,Thread Group 1-1,text,true,,17855,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/90382-b5f92fff7a8fc58b.js,50,0,0
1753343781595,30,Grow-31,200,OK,Thread Group 1-1,text,true,,16126,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/54773-d4e30f16c44bb669.js,30,0,0
1753343781625,30,Grow-32,200,OK,Thread Group 1-1,text,true,,89111,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/71262-dcb3069e91ab9890.js,27,0,0
1753343781656,35,Grow-33,200,OK,Thread Group 1-1,text,true,,19750,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/99443-750c8077db465049.js,35,0,0
1753343781691,26,Grow-34,200,OK,Thread Group 1-1,text,true,,50103,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/94884-d12dafbf7e08326d.js,24,0,0
